Method,Experiment,Scenario - Train,Scenario - Test,Region,RMSE,MAE,Bias,MRE
DMD,3box_uncoup,2xCO2,2xCO2,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,2xCO2,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,2xCO2,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,2xCO2,High Emissions,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,High Emissions,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,High Emissions,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,2xCO2,Overshoot,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,2xCO2,Overshoot,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,2xCO2,Overshoot,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,2xCO2,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,2xCO2,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,2xCO2,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,High Emissions,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,High Emissions,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,High Emissions,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,High Emissions,Overshoot,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,High Emissions,Overshoot,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,High Emissions,Overshoot,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,Overshoot,2xCO2,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,Overshoot,2xCO2,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,Overshoot,2xCO2,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,Overshoot,High Emissions,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,Overshoot,High Emissions,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,Overshoot,High Emissions,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_uncoup,Overshoot,Overshoot,0,0.00015393802647774722,0.00015089852273194552,0.00015089852273194552,0.42310116215540816
DMD,3box_uncoup,Overshoot,Overshoot,1,0.0024083757312404054,0.0004422954772135089,0.00026068048690830193,0.40328455697612575
DMD,3box_uncoup,Overshoot,Overshoot,2,0.00033653656226319674,0.00012170166073991603,8.871930812847387e-05,0.4111317650291717
DMD,3box_coup,2xCO2,2xCO2,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,2xCO2,2xCO2,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,2xCO2,2xCO2,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,2xCO2,High Emissions,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,2xCO2,High Emissions,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,2xCO2,High Emissions,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,2xCO2,Overshoot,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,2xCO2,Overshoot,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,2xCO2,Overshoot,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,High Emissions,2xCO2,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,High Emissions,2xCO2,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,High Emissions,2xCO2,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,High Emissions,High Emissions,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,High Emissions,High Emissions,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,High Emissions,High Emissions,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,High Emissions,Overshoot,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,High Emissions,Overshoot,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,High Emissions,Overshoot,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,Overshoot,2xCO2,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,Overshoot,2xCO2,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,Overshoot,2xCO2,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,Overshoot,High Emissions,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,Overshoot,High Emissions,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,Overshoot,High Emissions,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,3box_coup,Overshoot,Overshoot,0,2.905126339218635e-06,2.7648915634237642e-06,2.7648915634237642e-06,0.41835772621881645
DMD,3box_coup,Overshoot,Overshoot,1,3.2635983465382125e-05,3.872278479892505e-06,3.8708577858612395e-06,0.4021341412305308
DMD,3box_coup,Overshoot,Overshoot,2,6.193464920416592e-06,1.889106127078348e-06,1.8731639346728448e-06,0.41062655827925587
DMD,2box_coup,2xCO2,2xCO2,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,2xCO2,2xCO2,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,2xCO2,High Emissions,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,2xCO2,High Emissions,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,2xCO2,Overshoot,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,2xCO2,Overshoot,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,High Emissions,2xCO2,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,High Emissions,2xCO2,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,High Emissions,High Emissions,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,High Emissions,High Emissions,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,High Emissions,Overshoot,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,High Emissions,Overshoot,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,Overshoot,2xCO2,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,Overshoot,2xCO2,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,Overshoot,High Emissions,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,Overshoot,High Emissions,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup,Overshoot,Overshoot,0,0.0002844376792770221,0.0002206014996061482,0.0001234936627880165,0.5077929907659181
DMD,2box_coup,Overshoot,Overshoot,1,9.5722726316192e-05,7.290023807433589e-05,7.289498004634879e-05,nan
DMD,2box_coup_no_ocean,2xCO2,2xCO2,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,2xCO2,2xCO2,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,2xCO2,High Emissions,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,2xCO2,High Emissions,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,2xCO2,Overshoot,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,2xCO2,Overshoot,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,High Emissions,2xCO2,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,High Emissions,2xCO2,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,High Emissions,High Emissions,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,High Emissions,High Emissions,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,High Emissions,Overshoot,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,High Emissions,Overshoot,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,Overshoot,2xCO2,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,Overshoot,2xCO2,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,Overshoot,High Emissions,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,Overshoot,High Emissions,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
DMD,2box_coup_no_ocean,Overshoot,Overshoot,0,0.005382613145654242,0.0015128735726782194,0.00077307712254905,-19.92798440394696
DMD,2box_coup_no_ocean,Overshoot,Overshoot,1,0.0010009081952423338,0.0007952996359432265,0.0007928454196426789,nan
EDMD,3box_uncoup,2xCO2,2xCO2,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,2xCO2,2xCO2,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,2xCO2,2xCO2,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,2xCO2,High Emissions,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,2xCO2,High Emissions,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,2xCO2,High Emissions,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,2xCO2,Overshoot,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,2xCO2,Overshoot,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,2xCO2,Overshoot,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,High Emissions,2xCO2,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,High Emissions,2xCO2,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,High Emissions,2xCO2,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,High Emissions,High Emissions,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,High Emissions,High Emissions,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,High Emissions,High Emissions,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,High Emissions,Overshoot,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,High Emissions,Overshoot,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,High Emissions,Overshoot,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,Overshoot,2xCO2,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,Overshoot,2xCO2,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,Overshoot,2xCO2,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,Overshoot,High Emissions,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,Overshoot,High Emissions,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,Overshoot,High Emissions,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_uncoup,Overshoot,Overshoot,0,0.00015393802668574717,0.000150898522962871,0.000150898522962871,0.42310116216786725
EDMD,3box_uncoup,Overshoot,Overshoot,1,0.0024083757312410516,0.000442295477213454,0.00026068048691497037,0.4032845569762823
EDMD,3box_uncoup,Overshoot,Overshoot,2,0.00033653656226372914,0.00012170166073893398,8.871930811985914e-05,0.4111317650287374
EDMD,3box_coup,2xCO2,2xCO2,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,2xCO2,2xCO2,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,2xCO2,2xCO2,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,2xCO2,High Emissions,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,2xCO2,High Emissions,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,2xCO2,High Emissions,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,2xCO2,Overshoot,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,2xCO2,Overshoot,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,2xCO2,Overshoot,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,High Emissions,2xCO2,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,High Emissions,2xCO2,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,High Emissions,2xCO2,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,High Emissions,High Emissions,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,High Emissions,High Emissions,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,High Emissions,High Emissions,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,High Emissions,Overshoot,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,High Emissions,Overshoot,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,High Emissions,Overshoot,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,Overshoot,2xCO2,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,Overshoot,2xCO2,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,Overshoot,2xCO2,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,Overshoot,High Emissions,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,Overshoot,High Emissions,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,Overshoot,High Emissions,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,3box_coup,Overshoot,Overshoot,0,2.905126404575456e-06,2.7648916678320544e-06,2.7648916678320544e-06,0.4183577262278989
EDMD,3box_coup,Overshoot,Overshoot,1,3.2635983466185884e-05,3.872278534263189e-06,3.870857840228054e-06,0.4021341412337765
EDMD,3box_coup,Overshoot,Overshoot,2,6.193464921528044e-06,1.8891061439012174e-06,1.8731639785798484e-06,0.4106265582826966
EDMD,2box_coup,2xCO2,2xCO2,0,0.0002844376792754172,0.00022060149960646979,0.00012349366277423327,0.5077929907639994
EDMD,2box_coup,2xCO2,2xCO2,1,9.572272632246877e-05,7.290023808032178e-05,7.28949800523347e-05,nan
EDMD,2box_coup,2xCO2,High Emissions,0,0.0002844376792754172,0.00022060149960646979,0.00012349366277423327,0.5077929907639994
EDMD,2box_coup,2xCO2,High Emissions,1,9.572272632246877e-05,7.290023808032178e-05,7.28949800523347e-05,nan
EDMD,2box_coup,2xCO2,Overshoot,0,0.0002844376792754172,0.00022060149960646979,0.00012349366277423327,0.5077929907639994
EDMD,2box_coup,2xCO2,Overshoot,1,9.572272632246877e-05,7.290023808032178e-05,7.28949800523347e-05,nan
